Ano,Empresa,Categoria,EBITDA,Fluxo_Caixa_Operacional,Liquidez_Corrente,Margem_Liquida
2022,AAPL,Tecnologia da Informação,130541.0,122151.0,0.8794,25.3096
2021,AAPL,Tecnologia da Informação,120233.0,104038.0,1.0746,25.8818
2020,AAPL,Tecnologia da Informação,77344.0,80674.0,1.3636,20.9136
2019,AAPL,Tecnologia da Informação,76477.0,69391.0,1.5401,21.2381
2018,AAPL,Tecnologia da Informação,81801.0,77434.0,1.1329,22.4142
2017,AAPL,Tecnologia da Informação,71501.0,64225.0,1.2761,21.0924
2016,AAPL,Tecnologia da Informação,70529.0,66231.0,1.3527,21.1868
2015,AAPL,Tecnologia da Informação,82487.0,81266.0,1.1088,22.8458
2014,AAPL,Tecnologia da Informação,60449.0,59713.0,1.0801,21.6144
2013,AAPL,Tecnologia da Informação,55756.0,53666.0,1.6786,21.6705
2012,AAPL,Tecnologia da Informação,58518.0,50856.0,1.4958,26.6651
2011,AAPL,Tecnologia da Informação,35604.0,37529.0,1.6084,23.9466
2010,AAPL,Tecnologia da Informação,19412.0,18595.0,2.0113,21.4841
2009,AAPL,Tecnologia da Informação,12474.0,10159.0,2.7425,19.1936
2023,MSFT,Tecnologia da Informação,102384.0,87582.0,1.7692,34.1462
2022,MSFT,Tecnologia da Informação,97843.0,89035.0,1.7846,36.6863
2021,MSFT,Tecnologia da Informação,81602.0,76740.0,2.08,36.4517
2020,MSFT,Tecnologia da Informação,65755.0,60675.0,2.5158,30.9625
2019,MSFT,Tecnologia da Informação,54641.0,52185.0,2.5288,31.1817
2018,MSFT,Tecnologia da Informação,45319.0,43884.0,2.9008,15.0154
2017,MSFT,Tecnologia da Informação,37803.0,39507.0,2.9186,26.3941
2016,MSFT,Tecnologia da Informação,33330.0,33325.0,2.3529,22.5322
2015,MSFT,Tecnologia da Informação,31616.0,29668.0,2.4734,13.0295
2014,MSFT,Tecnologia da Informação,32971.0,32502.0,2.504,25.4212
2013,MSFT,Tecnologia da Informação,30519.0,28833.0,2.7118,28.0839
2012,MSFT,Tecnologia da Informação,30923.0,31626.0,2.6029,23.0295
2011,MSFT,Tecnologia da Informação,29927.0,26994.0,2.6037,33.0984
2010,MSFT,Tecnologia da Informação,26771.0,24073.0,2.1293,30.0237
2009,MSFT,Tecnologia da Informação,22925.0,19037.0,1.8229,24.9311
2022,GOOG,Tecnologia da Informação,90770.0,91495.0,2.378,21.2038
2021,GOOG,Tecnologia da Informação,91155.0,91652.0,2.9281,29.5117
2020,GOOG,Tecnologia da Informação,54921.0,65124.0,3.0668,22.0619
2019,GOOG,Tecnologia da Informação,46012.0,54520.0,3.3741,21.2181
2018,GOOG,Tecnologia da Informação,36559.0,47971.0,3.919,22.4647
2017,GOOG,Tecnologia da Informação,33093.0,37091.0,5.1403,11.4221
2016,GOOG,Tecnologia da Informação,29860.0,36036.0,6.2908,21.577
2015,GOOG,Tecnologia da Informação,24423.0,26572.0,4.6667,21.1044
2014,GOOG,Tecnologia da Informação,21475.0,23024.0,4.6878,21.4179
2013,GOOG,Tecnologia da Informação,19342.0,18659.0,4.5817,22.9345
2012,GOOG,Tecnologia da Informação,16796.0,16619.0,4.2166,23.3215
2011,GOOG,Tecnologia da Informação,13593.0,14565.0,5.9192,25.6879
2010,GOOG,Tecnologia da Informação,11777.0,11081.0,4.1579,29.0065
2009,GOOG,Tecnologia da Informação,9836.0,9316.0,10.6178,27.5675
2022,PYPL,Fintech,5154.0,5813.0,1.2753,8.7906
2021,PYPL,Fintech,5527.0,5797.0,1.2218,16.4322
2020,PYPL,Fintech,4478.0,6219.0,1.3264,19.5861
2019,PYPL,Fintech,3631.0,4071.0,1.43,13.8364
2018,PYPL,Fintech,2970.0,5480.0,1.2725,13.3131
2017,PYPL,Fintech,2932.0,2531.0,1.4279,13.7086
2016,PYPL,Fintech,2310.0,3158.0,1.5246,12.922
2015,PYPL,Fintech,2069.0,2546.0,1.5163,13.2786
2014,PYPL,Fintech,1784.0,2220.0,1.3224,5.2212
2022,AIG,Bancos,20640.0,4207.0,1.0,18.1565
2021,AIG,Bancos,15382.0,6279.0,1.0,17.9784
2020,AIG,Bancos,6821.0,1038.0,1.0,-13.6569
2019,AIG,Bancos,11817.0,-1807.0,1.0,6.686
2018,AIG,Bancos,6897.0,-394.0,1.0,-0.0127
2017,AIG,Bancos,6435.0,-7818.0,1.0,-12.2859
2016,AIG,Bancos,4805.0,3502.0,1.0,-1.6213
2015,AIG,Bancos,9958.0,2877.0,1.0,3.765
2014,AIG,Bancos,16752.0,5007.0,1.0,11.6899
2013,AIG,Bancos,16922.0,5865.0,1.0,13.1908
2012,AIG,Bancos,19327.0,3676.0,1.0,4.8277
2011,AIG,Bancos,15225.0,-81.0,1.0,30.4278
2010,AIG,Bancos,21166.0,16597.0,1.0,2.8093
2009,AIG,Bancos,27765.0,18584.0,1.0,-16.2286
2022,PCG,Manufatura,5693.0,3721.0,0.8117,8.3026
2021,PCG,Manufatura,5286.0,2262.0,0.6356,-0.4941
2020,PCG,Manufatura,5223.0,-19130.0,0.707,-7.1363
2019,PCG,Manufatura,-6860.0,4816.0,1.3321,-44.6961
2018,PCG,Manufatura,-6664.0,4752.0,0.2205,-40.8795
2017,PCG,Manufatura,5759.0,5977.0,0.881,9.6061
2016,PCG,Manufatura,4835.0,4409.0,0.8149,7.8852
2015,PCG,Manufatura,4120.0,3780.0,0.9136,5.1922
2014,PCG,Manufatura,4883.0,3690.0,1.0792,8.4026
2013,PCG,Manufatura,3839.0,3427.0,0.7977,5.2186
2012,PCG,Manufatura,3965.0,4882.0,0.8186,5.4255
2011,PCG,Manufatura,4157.0,3739.0,0.8362,5.6432
2010,PCG,Manufatura,4213.0,3206.0,0.7713,7.9402
2009,PCG,Manufatura,4051.0,3039.0,0.8303,9.1052
2018,SHLDQ,Serviços Financeiros,-52.0,-1842.0,0.7756,-2.2931
2017,SHLDQ,Serviços Financeiros,-1610.0,-1381.0,1.0673,-10.0325
2016,SHLDQ,Serviços Financeiros,-570.0,-2167.0,1.1116,-4.4898
2015,SHLDQ,Serviços Financeiros,-889.0,-1387.0,1.0479,-5.3914
2014,SHLDQ,Serviços Financeiros,-195.0,-1109.0,1.0946,-3.772
2013,SHLDQ,Serviços Financeiros,-8.0,-303.0,1.1011,-2.3335
2012,SHLDQ,Serviços Financeiros,-648.0,-275.0,1.112,-7.5541
2011,SHLDQ,Serviços Financeiros,1306.0,123.0,1.3375,0.3117
2010,SHLDQ,Serviços Financeiros,1561.0,1507.0,1.3018,0.542
2009,SHLDQ,Serviços Financeiros,1283.0,992.0,1.3412,0.1133
2022,MCD,Alimentos,11241.6,7386.7,1.4266,26.6467
2021,MCD,Alimentos,12224.1,9141.5,1.7782,32.4903
2020,MCD,Alimentos,9075.4,6265.2,1.01,24.628
2019,MCD,Alimentos,10687.7,8122.1,0.9826,28.203
2018,MCD,Alimentos,10304.6,6966.7,1.3631,27.8687
2017,MCD,Alimentos,10916.1,5551.2,1.8429,22.7529
2016,MCD,Alimentos,9261.002,6059.6,1.398,19.0339
2015,MCD,Alimentos,8701.2,6539.1,3.2684,17.8228
2014,MCD,Alimentos,9593.701,6730.3,1.5232,17.3381
2013,MCD,Alimentos,10349.4,7120.7,1.5931,19.8746
2012,MCD,Alimentos,10093.1,6966.1,1.4464,19.8237
2011,MCD,Alimentos,9944.701,7150.1,1.2547,20.3773
2010,MCD,Alimentos,8749.3,6341.6,1.4937,20.5457
2009,MCD,Alimentos,8057.2,5751.0,1.1431,20.0091
2022,BCS,Bancos,1.0,37392.72,1.0,21.162
2021,BCS,Bancos,1.0,67268.52,1.0,28.2167
2020,BCS,Bancos,1.0,73836.42,1.0,9.0147
2019,BCS,Bancos,1.0,-15699.49,1.0,16.6024
2018,BCS,Bancos,1.0,11351.14,1.0,7.0877
2017,BCS,Bancos,1.0,78244.34,1.0,-10.2561
2016,BCS,Bancos,1.0,15295.92,1.0,9.1781
2015,BCS,Bancos,1.0,24659.71,1.0,-1.3882
2014,BCS,Bancos,1.0,-17207.81,1.0,-0.519
2013,BCS,Bancos,1.0,-39392.27,1.0,2.1758
2012,BCS,Bancos,1.0,-21741.23,1.0,-4.0909
2011,BCS,Bancos,1.0,46654.34,1.0,12.2352
2010,BCS,Bancos,1.0,28894.16,1.0,14.4688
2009,BCS,Bancos,1.0,65523.51,1.0,12.0558
2023,NVDA,Eletrônicos,5768.0,5641.0,3.5156,16.1934
2022,NVDA,Eletrônicos,11215.0,9108.0,6.6503,36.2339
2021,NVDA,Eletrônicos,5630.0,5822.0,4.0904,25.979
2020,NVDA,Eletrônicos,3227.0,4761.0,7.6738,25.6091
2019,NVDA,Eletrônicos,4066.0,3743.0,7.9436,35.3448
2018,NVDA,Eletrônicos,3409.0,3502.0,8.0269,31.3671
2017,NVDA,Eletrônicos,2121.0,1672.0,4.774,24.11
2016,NVDA,Eletrônicos,973.0,1175.0,2.5746,12.2555
2015,NVDA,Eletrônicos,1007.0,906.0,6.3761,13.4772
2014,NVDA,Eletrônicos,740.0,835.0,5.949,10.6538
2013,NVDA,Eletrônicos,874.4742,824.172,4.8916,13.1429
2012,NVDA,Eletrônicos,852.5038,909.156,4.1995,14.5348
2011,NVDA,Eletrônicos,442.7361,675.797,3.4232,7.1443
2010,NVDA,Eletrônicos,97.7189,487.807,3.1628,-2.0438
2009,NVDA,Eletrônicos,114.3228,249.36,2.7845,-0.8771
2022,INTC,Eletrônicos,15369.0,15433.0,1.5676,12.7097
2021,INTC,Eletrônicos,31248.0,29456.0,2.1323,25.1417
